id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym
229,Harper,Male,46,3,,20:39:00,21:33:00,81
232,Bennett,Male,21,5,"Core, Core",15:16:00,17:16:00,158
235,Teirtza,Female,31,4,,11:49:00,12:36:00,77
236,Idell,Female,18,2,chest,15:45:00,17:41:00,141
237,Marylou,Female,48,3,"Leg, Core",10:32:00,12:17:00,175
238,Irene,Female,19,3,"Arms, Cardio",20:15:00,22:22:00,60
243,Ekaterina,Female,12,2,,13:58:00,14:54:00,106
244,Sella,Female,17,5,back,13:50:00,16:37:00,53
247,Elvis,Male,38,1,chest,18:44:00,19:43:00,162
249,Deloris,Female,21,1,Core,18:00:00,19:58:00,40
250,Peter,Male,46,5,,13:26:00,16:21:00,141
251,Spenser,Male,20,3,"back, chest, back",8:05:00,9:57:00,98
253,Sergio,Male,14,2,"back, Cardio, chest",14:33:00,15:57:00,135
254,Alexei,Male,17,4,,17:12:00,19:36:00,30
256,Andreana,Female,34,1,"Arms, Leg",17:37:00,18:44:00,168
257,Worth,Male,34,1,Core,8:12:00,10:02:00,139
259,Muire,Female,25,3,,10:02:00,11:33:00,97
261,Eamon,Male,46,2,,12:01:00,14:04:00,115
264,Padraig,Male,39,1,,15:42:00,16:34:00,121
267,Bertie,Female,17,2,,11:33:00,12:31:00,66
268,Chadwick,Male,28,1,,18:08:00,20:23:00,127
269,Vinny,Male,17,2,,9:59:00,10:31:00,36
270,Abby,Male,15,5,"chest, chest",15:19:00,16:24:00,95
273,Quincy,Male,31,3,,11:23:00,13:07:00,79
274,Elset,Female,14,1,"Arms, Core, Core",19:30:00,22:11:00,55
276,Horatio,Male,45,1,Cardio,11:21:00,12:22:00,128
280,Zachariah,Male,49,1,"Arms, Core",10:29:00,12:54:00,133
281,Dorey,Male,40,2,"Arms, chest, back",15:40:00,17:36:00,65
282,Daniel,Male,48,5,Core,12:25:00,14:41:00,130
286,Dimitry,Male,42,5,,20:16:00,22:00:00,169
288,Piggy,Male,43,4,,17:30:00,18:03:00,139
291,Barbi,Female,19,1,,9:49:00,11:52:00,34
292,Mitchel,Male,18,1,,16:59:00,19:12:00,61
295,Abbie,Male,40,3,,15:28:00,17:03:00,88
296,Evie,Female,23,4,,10:17:00,12:08:00,32
299,Avis,Female,47,1,,12:31:00,13:28:00,119
302,Sigismondo,Male,16,3,"chest, back, back",12:48:00,15:45:00,88
305,Alfie,Male,24,3,"Leg, Leg, back",8:48:00,11:29:00,72
308,Jodee,Female,31,1,,11:54:00,13:31:00,135
309,Virge,Male,18,1,,15:05:00,17:09:00,32
310,Jeremias,Male,40,4,chest,19:18:00,22:17:00,61
312,Taite,Male,20,5,"Cardio, Leg",17:41:00,19:28:00,141
315,Dante,Male,27,3,Core,8:38:00,9:42:00,30
318,Curran,Male,38,4,,11:37:00,12:12:00,87
319,Dexter,Male,37,2,,10:38:00,13:32:00,162
320,Lavinia,Female,43,5,Cardio,9:36:00,11:51:00,148
325,Quinton,Male,23,4,,10:34:00,11:40:00,162
327,Noel,Female,34,4,,14:01:00,16:10:00,90
328,Lexine,Female,18,3,,13:52:00,16:23:00,175
329,Davy,Male,34,3,Leg,9:15:00,11:04:00,165
330,Elisabet,Female,34,4,,11:43:00,14:04:00,173
335,Ladonna,Female,46,1,,13:42:00,15:36:00,56
336,Malanie,Female,15,3,"Leg, back",10:40:00,13:40:00,83
341,Rita,Female,31,1,,14:02:00,14:37:00,88
342,Orren,Male,26,3,"Cardio, Core, Leg",17:57:00,19:48:00,136
343,Andreana,Female,13,4,Leg,9:53:00,11:35:00,98
345,Wes,Male,32,5,,14:30:00,17:03:00,58
348,Karim,Male,28,4,,12:59:00,15:16:00,95
352,Rici,Female,43,4,"Leg, back",9:42:00,11:48:00,114
357,Dominga,Female,39,3,"Cardio, Arms",20:55:00,22:31:00,58
361,Leilah,Female,26,4,"Leg, back",20:04:00,22:37:00,42
363,Nikki,Male,34,4,"Leg, Cardio",12:17:00,13:38:00,84
367,Cissy,Female,16,4,"Core, Leg, back",20:22:00,21:13:00,57
371,Bil,Male,48,3,,20:10:00,20:47:00,56
372,Ilyse,Female,38,4,"Leg, back, Leg",11:18:00,12:58:00,130
376,Beryle,Female,15,3,"chest, chest",20:16:00,22:46:00,127
379,Alexina,Female,16,3,,8:29:00,11:00:00,136
381,Ronald,Male,42,4,,18:01:00,20:07:00,158
383,Marje,Female,17,3,,20:26:00,21:13:00,54
385,Maiga,Female,49,2,Cardio,12:45:00,14:45:00,177
386,Joel,Male,43,5,"back, Core",13:06:00,14:08:00,169
387,Woody,Male,35,4,"Core, chest",19:08:00,20:29:00,159
388,Ave,Male,15,2,Cardio,20:23:00,22:44:00,34
389,Zola,Female,12,4,Leg,17:57:00,19:04:00,108
390,Devi,Female,39,5,,8:59:00,9:42:00,135
395,Shelly,Female,27,1,,19:59:00,22:08:00,87
399,Rafferty,Male,40,5,,8:38:00,10:51:00,143
402,Ashly,Female,28,3,"Cardio, back",16:58:00,18:24:00,160
406,Leela,Female,40,3,"Arms, back",13:03:00,15:14:00,148
408,Alejandro,Male,31,3,,11:31:00,14:14:00,45
409,Cthrine,Female,17,5,,18:07:00,19:54:00,37
412,Adolph,Male,37,4,Cardio,19:02:00,19:55:00,40
417,Mab,Female,48,5,back,14:53:00,15:29:00,148
419,Janela,Female,37,5,"back, chest",10:33:00,12:11:00,135
423,Koren,Female,43,5,"Core, Arms, Leg",18:48:00,20:55:00,120
424,Kimberlee,Female,14,3,"Arms, Core, chest",12:27:00,13:49:00,89
425,Rockwell,Male,16,2,,16:21:00,17:41:00,121
427,Robers,Male,48,2,,16:05:00,17:48:00,98
428,Ainslie,Female,16,3,"Arms, Core",14:06:00,14:52:00,99
429,Basil,Male,35,2,"back, Cardio",17:57:00,18:55:00,126
432,Reed,Male,20,3,"back, Leg, Arms",10:56:00,11:54:00,48
434,Sabra,Female,36,5,,18:14:00,20:34:00,144
436,Dalt,Male,12,3,,11:28:00,13:51:00,54
439,Cchaddie,Male,12,4,back,13:58:00,16:13:00,69
441,Risa,Female,49,3,"Leg, chest",16:41:00,19:14:00,137
443,Merrie,Female,40,5,"Leg, Cardio, Core",13:59:00,14:33:00,133
454,Philippine,Female,13,1,Leg,18:14:00,18:57:00,42
460,Blithe,Female,21,4,,9:22:00,11:52:00,88
462,Care,Male,34,1,,10:55:00,13:35:00,162
465,Abagael,Female,12,2,,14:33:00,16:30:00,78
467,Gregorio,Male,32,4,chest,8:25:00,11:08:00,67
468,Nananne,Female,37,4,,9:56:00,11:16:00,133
470,Gard,Male,20,3,"Arms, Leg, Leg",12:45:00,13:52:00,127
471,Latisha,Female,28,2,,10:42:00,12:31:00,110
473,Boniface,Male,22,1,Leg,9:46:00,11:11:00,171
475,Lyon,Male,26,4,,11:56:00,14:27:00,107
476,Mendy,Male,15,5,"Core, Cardio",17:37:00,18:15:00,147
478,Claretta,Female,37,1,,11:56:00,14:22:00,95
483,Agatha,Female,26,3,chest,18:41:00,20:01:00,100
488,Hodge,Male,43,3,,17:52:00,18:45:00,124
494,Mil,Female,35,5,"chest, Core",11:50:00,14:03:00,165
499,Cecilia,Female,24,1,Core,20:43:00,22:57:00,47
500,Esdras,Male,29,2,,14:34:00,15:55:00,75
503,Sib,Female,48,5,,15:10:00,16:35:00,70
507,Anna-diane,Female,46,1,"Cardio, Arms",15:09:00,16:34:00,60
508,Josh,Male,27,1,,19:23:00,22:13:00,36
510,Minor,Male,14,5,"Cardio, back, Arms",12:56:00,14:40:00,65
514,Darcee,Female,12,2,"Core, back, Cardio",12:43:00,15:19:00,51
520,Jo-anne,Female,16,4,,19:30:00,20:44:00,175
521,Mikaela,Female,32,3,,20:33:00,23:06:00,55
524,Sofie,Female,28,4,"Core, chest",14:20:00,17:13:00,173
525,Charisse,Female,21,1,,18:22:00,19:32:00,62
526,Tailor,Male,28,4,Core,13:43:00,14:38:00,120
529,Errol,Male,41,1,,8:50:00,10:45:00,118
530,Sandy,Female,13,2,"back, chest",19:59:00,20:45:00,114
534,Rabbi,Male,25,5,,14:53:00,17:50:00,139
536,Giselbert,Male,23,2,,16:05:00,17:44:00,170
538,Jethro,Male,26,3,,8:10:00,10:58:00,76
544,Bianca,Female,32,1,"chest, back, Core",9:49:00,12:29:00,171
551,Manda,Female,41,5,,15:38:00,18:16:00,80
552,Bernetta,Female,26,4,"Leg, chest, Core",15:55:00,17:11:00,165
554,Kit,Female,36,2,"chest, Cardio",18:15:00,20:02:00,110
556,Audra,Female,35,5,,10:32:00,11:40:00,41
560,Marietta,Female,25,5,,15:36:00,17:48:00,63
561,Monique,Female,37,4,chest,13:20:00,14:11:00,129
563,Filippa,Female,28,3,,18:39:00,20:06:00,98
567,Verile,Female,16,5,back,19:09:00,21:43:00,60
568,Amye,Female,46,2,,10:41:00,11:48:00,156
569,Pasquale,Male,28,5,"back, Cardio, Leg",20:28:00,22:32:00,134
573,Iggie,Male,29,5,,18:16:00,21:00:00,55
575,Laurice,Female,24,3,,16:29:00,19:06:00,155
578,Lester,Male,13,4,,20:35:00,21:30:00,164
580,Freedman,Male,48,3,"Leg, back, chest",16:10:00,17:29:00,126
584,Dallis,Male,19,4,,10:48:00,11:32:00,146
585,Courtenay,Female,15,4,back,20:45:00,22:20:00,70
586,Roosevelt,Male,18,5,,8:13:00,9:28:00,172
587,Cammy,Male,47,5,Leg,15:57:00,17:27:00,139
590,Toby,Male,15,4,"Core, Cardio",9:51:00,11:47:00,138
596,Darius,Male,42,3,,20:46:00,23:33:00,56
598,Ami,Female,18,1,chest,9:21:00,10:54:00,171
599,Weber,Male,34,2,,8:35:00,10:58:00,154
600,Meyer,Male,29,3,,19:40:00,20:39:00,106
602,Germayne,Male,17,1,,15:41:00,17:45:00,113
606,Ruben,Male,42,4,"Core, Cardio, Leg",20:39:00,22:49:00,68
609,Marrissa,Female,14,2,"chest, Leg, Core",17:33:00,20:22:00,53
613,Emlen,Male,25,1,"Core, Core, back",17:32:00,19:31:00,157
615,Norbie,Male,43,4,,18:07:00,19:13:00,116
617,Duffie,Male,49,3,,15:28:00,16:07:00,143
619,Phillip,Male,35,2,,14:29:00,15:58:00,88
626,Warren,Male,13,3,"Cardio, Cardio",16:57:00,18:59:00,58
627,Tiffani,Female,44,5,Leg,20:00:00,22:25:00,150
630,Pablo,Male,39,1,,14:29:00,16:53:00,113
631,Cordy,Female,28,5,,8:50:00,10:06:00,44
633,Trula,Female,46,4,Leg,14:42:00,16:22:00,59
636,Georgeanne,Female,41,3,"Core, back",13:24:00,14:20:00,76
639,Shea,Female,15,2,back,9:25:00,10:32:00,150
646,Toiboid,Male,42,4,,17:16:00,19:12:00,125
648,Kikelia,Female,47,3,back,12:44:00,15:15:00,82
649,Noelani,Female,36,1,,13:50:00,14:35:00,159
651,Bradley,Male,39,5,,20:36:00,21:48:00,107
655,Demetris,Male,45,2,,9:20:00,12:09:00,51
657,Ricoriki,Male,29,1,"chest, Arms",14:58:00,17:50:00,76
658,Westleigh,Male,39,1,,19:23:00,21:04:00,41
660,Bronson,Male,17,1,,9:58:00,12:29:00,161
661,Aaron,Male,40,4,"Core, Cardio",17:02:00,19:49:00,106
670,Carmencita,Female,35,2,"Leg, Arms",9:17:00,10:59:00,49
671,Gery,Male,14,5,,12:36:00,13:56:00,118
673,Tomi,Female,40,4,back,10:49:00,11:21:00,149
675,Sidonia,Female,39,3,,11:52:00,13:28:00,69
678,Jessie,Female,13,3,,13:57:00,16:22:00,91
682,Maximilien,Male,22,1,,10:54:00,13:07:00,104
689,Elke,Female,41,4,,9:47:00,12:08:00,174
690,Simmonds,Male,23,2,,13:10:00,14:21:00,89
692,Matelda,Female,29,5,"chest, Cardio, Cardio",16:21:00,17:05:00,127
693,Mignonne,Female,48,5,,17:34:00,19:15:00,135
694,Shirline,Female,23,4,,16:40:00,18:11:00,77
696,Janean,Female,42,4,chest,11:43:00,12:51:00,60
697,Alejandro,Male,15,1,"chest, Cardio, Leg",10:31:00,12:14:00,100
699,Peadar,Male,28,5,"back, chest",18:06:00,20:05:00,110
700,Alana,Female,34,2,,16:35:00,17:44:00,99
701,Julia,Female,42,1,"back, chest, Leg",11:19:00,13:31:00,174
703,Travers,Male,27,3,"Arms, Leg",16:01:00,19:01:00,66
704,Hal,Male,15,2,"Core, Leg",20:14:00,22:35:00,79
707,Grove,Male,39,3,Core,13:31:00,14:16:00,106
710,Kayley,Female,29,4,"chest, Core, Cardio",10:54:00,12:00:00,120
712,Paul,Male,16,2,"Core, Leg",13:12:00,14:47:00,118
713,Walt,Male,34,5,chest,10:37:00,11:27:00,124
717,Ive,Male,12,2,,11:10:00,12:53:00,105
719,Pren,Male,46,3,,8:33:00,10:02:00,109
727,Zeb,Male,38,2,"Leg, Cardio, Core",11:51:00,13:01:00,112
728,Raina,Female,40,4,"Core, Leg, Arms",20:57:00,22:46:00,162
730,Courtnay,Male,16,3,,15:28:00,18:18:00,46
732,Melva,Female,20,3,,13:30:00,15:53:00,76
740,Kellsie,Female,49,4,,11:16:00,13:42:00,96
741,Igor,Male,28,2,Arms,20:07:00,22:19:00,116
744,Prince,Male,34,4,back,10:42:00,11:16:00,85
747,Loydie,Male,14,3,,13:10:00,14:50:00,31
751,Nana,Female,44,3,"Leg, Core, chest",13:11:00,15:01:00,65
753,Jacquette,Female,41,1,,10:11:00,12:17:00,132
754,Vida,Female,19,5,,15:13:00,16:46:00,130
764,Lars,Male,30,4,"Core, back",8:10:00,11:10:00,103
767,Lin,Male,34,3,,13:07:00,14:15:00,158
768,Benjy,Male,42,3,,14:16:00,15:07:00,65
774,Dario,Male,45,4,,12:32:00,13:09:00,150
781,Martyn,Male,12,1,"Arms, chest, back",16:32:00,17:50:00,78
783,Dion,Male,22,4,"Core, chest, Core",12:16:00,14:43:00,88
784,Anallise,Female,30,1,,9:38:00,12:16:00,125
786,Margareta,Female,21,3,,19:32:00,22:10:00,176
787,Codi,Female,28,3,,11:35:00,13:19:00,60
790,Derron,Male,33,5,,13:22:00,14:31:00,125
796,Marylinda,Female,36,3,"Cardio, Cardio",9:21:00,11:58:00,59
797,Alley,Male,46,4,Leg,9:41:00,10:37:00,140
800,Roxy,Female,30,5,,9:21:00,11:58:00,33
801,Bonita,Female,16,4,"Cardio, chest, Cardio",19:19:00,21:34:00,75
806,Beatriz,Female,21,4,,16:13:00,18:08:00,74
807,Ardelis,Female,37,3,"back, Cardio",19:35:00,20:13:00,91
809,Rana,Female,16,2,,13:25:00,14:58:00,100
812,Kelly,Male,49,4,"Cardio, chest, back",14:30:00,16:24:00,76
813,Johnathan,Male,36,4,,14:07:00,14:43:00,38
820,Kial,Female,15,3,,14:33:00,16:35:00,64
823,Viola,Female,47,5,,16:33:00,18:53:00,141
824,Junie,Female,13,4,,17:59:00,19:01:00,170
829,Fields,Male,24,5,"back, Core",9:40:00,10:50:00,178
830,Micky,Male,14,3,"Cardio, back",12:05:00,14:43:00,119
835,Mair,Female,25,2,,15:37:00,16:21:00,76
840,Darell,Female,38,2,,20:26:00,21:46:00,82
845,Curran,Male,31,5,,17:09:00,19:19:00,47
848,Pietro,Male,34,2,"Leg, Core",12:00:00,12:53:00,76
852,Laraine,Female,49,3,,15:43:00,17:40:00,138
853,Westbrooke,Male,38,2,"Cardio, Core",12:16:00,14:58:00,48
854,Odelia,Female,45,4,,20:20:00,22:54:00,127
856,Ester,Female,42,5,"Cardio, back, back",17:05:00,18:41:00,144
859,Mikey,Male,32,4,"Cardio, chest",14:45:00,15:46:00,40
862,Zackariah,Male,44,4,"Cardio, chest",17:19:00,19:17:00,93
863,Wash,Male,18,2,,11:08:00,11:42:00,178
868,Merlina,Female,23,1,chest,18:26:00,20:00:00,134
869,Saba,Female,25,4,"Cardio, back",12:09:00,14:40:00,43
871,Annora,Female,43,1,"Core, Core, Cardio",12:21:00,14:19:00,91
873,Harwilll,Male,17,2,,20:27:00,21:46:00,158
875,Lester,Male,14,2,"chest, back",13:45:00,15:30:00,33
876,Ramona,Female,17,5,Leg,18:32:00,19:44:00,34
883,Fan,Female,46,2,"Leg, Arms, back",15:31:00,16:43:00,111
886,Cathryn,Female,17,1,"Cardio, chest",15:47:00,16:56:00,131
889,Wilt,Male,12,4,Leg,11:41:00,13:52:00,164
891,Hamilton,Male,25,4,,11:26:00,12:50:00,72
892,Renard,Male,17,5,,12:22:00,13:29:00,72
895,Robinet,Male,17,2,,16:53:00,17:28:00,145
896,Franni,Female,44,2,,10:05:00,11:47:00,81
897,Andra,Female,34,5,Arms,9:39:00,12:29:00,33
898,Brandise,Female,47,3,,11:05:00,12:16:00,50
905,Marika,Female,22,2,,14:09:00,16:31:00,130
906,Thorsten,Male,12,4,,9:22:00,10:17:00,148
908,Grazia,Female,33,3,,10:25:00,12:51:00,175
909,Randy,Male,48,2,chest,13:35:00,16:32:00,62
917,Ignaz,Male,22,5,,19:29:00,21:15:00,95
919,Devlin,Male,12,2,,19:43:00,20:53:00,43
924,Carling,Male,36,1,,17:57:00,19:46:00,121
927,Tye,Male,30,2,Leg,10:03:00,10:53:00,165
928,Pamela,Female,46,1,,17:33:00,18:42:00,67
929,Aldous,Male,43,3,"Arms, chest",9:38:00,11:38:00,163
930,Vita,Female,16,2,,13:57:00,14:41:00,148
931,Dori,Female,37,5,,16:33:00,18:18:00,39
932,Francklin,Male,16,5,"back, Cardio, Core",10:48:00,12:18:00,157
934,Dionis,Female,19,3,,13:53:00,15:44:00,55
936,Briano,Male,17,2,"chest, Core, back",15:31:00,16:33:00,180
938,Merle,Male,12,5,"back, back, Leg",9:57:00,12:11:00,120
939,Carlen,Female,44,1,,12:50:00,13:21:00,44
941,Matias,Male,49,2,,10:21:00,13:17:00,52
942,Lindon,Male,46,1,,10:47:00,12:58:00,94
943,Ransell,Male,28,5,,11:58:00,13:01:00,112
944,Marty,Female,22,1,,9:41:00,12:34:00,76
945,Doris,Female,24,5,,17:14:00,19:45:00,66
947,Elladine,Female,38,5,,9:42:00,11:23:00,99
950,Karyn,Female,43,3,"Leg, Leg",15:44:00,18:43:00,107
952,Ricky,Male,49,5,"Core, back, Arms",19:21:00,20:04:00,33
954,Ivor,Male,16,4,"Cardio, back, back",15:27:00,18:03:00,131
959,Gunilla,Female,42,5,,9:22:00,9:52:00,103
960,Brenn,Female,24,5,,10:14:00,10:55:00,124
962,Wenona,Female,35,1,,13:28:00,15:55:00,159
963,Bone,Male,16,3,"Core, back",9:23:00,10:42:00,38
967,Jacynth,Female,36,2,"Core, Cardio, chest",11:42:00,14:11:00,151
970,Beale,Male,20,4,,8:22:00,8:54:00,42
976,Veda,Female,40,1,,16:39:00,19:26:00,168
978,Tremaine,Male,20,2,,19:00:00,19:33:00,104
987,Hadria,Female,20,3,,19:04:00,20:26:00,33
993,Melantha,Female,20,3,"Leg, Cardio, Leg",9:42:00,10:49:00,73
997,Elaina,Female,45,1,"Core, chest",9:14:00,12:01:00,90
998,Humfried,Male,43,4,,17:21:00,20:21:00,159
1000,Norrie,Female,23,4,,16:41:00,17:13:00,174
1007,Anson,Male,19,3,Cardio,19:46:00,20:59:00,67
1014,Alie,Female,44,5,,19:50:00,22:43:00,127
1015,Charmine,Female,27,3,,20:12:00,20:52:00,122
1018,Trixy,Female,41,2,,16:54:00,19:39:00,70
1022,Jamey,Male,32,4,back,15:06:00,15:36:00,121
1028,Wat,Male,20,3,"chest, Leg, Leg",19:41:00,22:36:00,66
1029,Kandy,Female,48,4,,11:25:00,14:03:00,106
1030,Nissa,Female,46,1,Leg,20:15:00,22:22:00,92
1032,Nataniel,Male,41,1,,20:53:00,21:34:00,125
1034,Trudi,Female,43,5,Core,14:42:00,16:45:00,57
1035,Alf,Male,46,5,,18:15:00,19:07:00,146
1036,Morie,Male,49,4,"Core, chest, Cardio",13:39:00,14:10:00,160
1037,Shelby,Female,41,4,,9:02:00,11:39:00,135
1038,Sibella,Female,17,1,,8:39:00,9:49:00,61
1042,Bambie,Female,31,2,,9:38:00,11:03:00,103
1046,Aridatha,Female,23,3,"Leg, Core, Leg",18:41:00,20:18:00,70
1050,Nora,Female,42,3,"chest, Core",8:54:00,9:48:00,70
1051,Maximilianus,Male,38,3,,9:43:00,12:09:00,94
1053,Jada,Female,19,1,"chest, back",9:26:00,11:45:00,172
1054,Maud,Female,20,3,"Arms, Leg, chest",20:36:00,23:18:00,150
1058,Benton,Male,43,4,"chest, Leg, back",12:19:00,12:56:00,66
1062,Talia,Female,12,4,,10:28:00,11:38:00,35
1066,Constancia,Female,27,1,,13:06:00,15:49:00,66
1068,Shelden,Male,21,3,"Leg, Arms",13:04:00,15:03:00,65
1070,Franky,Female,47,3,,11:11:00,13:15:00,75
1071,Vincenz,Male,41,5,"chest, chest, Arms",13:04:00,14:35:00,136
1073,Guillaume,Male,37,5,,17:06:00,19:52:00,86
1075,Florry,Female,15,2,,9:57:00,12:07:00,36
1078,Boigie,Male,45,3,"Core, back, chest",16:16:00,18:36:00,65
1079,Morgan,Female,24,3,"Core, Cardio, chest",12:44:00,14:31:00,92
1080,Merrily,Female,39,3,"back, Core, Leg",18:19:00,19:26:00,147
1087,Thorsten,Male,43,1,back,12:51:00,14:27:00,96
1089,Shirlee,Female,14,5,back,10:34:00,11:38:00,78
1095,Jen,Female,24,3,"chest, Leg, Arms",10:10:00,11:24:00,77
1098,Emanuel,Male,16,3,,16:57:00,18:07:00,94
1100,Cherise,Female,39,5,,8:34:00,9:53:00,116
1102,Shayna,Female,49,5,"chest, Leg, Core",17:42:00,18:58:00,53
1103,Falito,Male,36,1,"Arms, Leg, Leg",10:29:00,11:39:00,88
1106,Tomkin,Male,42,3,Arms,19:57:00,20:27:00,134
1108,Vivia,Female,25,3,"Leg, Core, Cardio",19:52:00,20:53:00,63
1114,Catherine,Female,37,2,,13:51:00,16:27:00,86
1115,Mae,Female,43,3,,14:36:00,15:26:00,116
1116,Esra,Male,34,5,,19:08:00,21:25:00,115
1118,Esra,Male,29,2,,8:23:00,11:10:00,87
1124,Fifi,Female,20,2,,14:40:00,15:28:00,86
1141,Park,Male,40,4,Cardio,19:59:00,21:54:00,144
1142,Rosalinde,Female,34,2,Leg,8:13:00,10:45:00,129
1145,Winne,Female,12,3,,10:11:00,12:23:00,39
1146,Julina,Female,21,5,"Core, chest, back",20:23:00,23:12:00,172
1147,Timothee,Male,32,5,"Leg, Core",18:19:00,20:47:00,108
1148,Hazlett,Male,31,5,chest,9:08:00,11:13:00,74
1157,Jillie,Female,27,2,,11:51:00,13:56:00,50
1160,Millie,Female,31,4,"chest, Leg",15:17:00,16:01:00,148
1164,Quincy,Male,25,5,,17:41:00,19:32:00,59
1167,Nessie,Female,32,4,"Leg, Cardio, back",9:55:00,11:08:00,135
1168,Desi,Male,49,2,Leg,12:27:00,14:20:00,98
1170,Rodger,Male,35,2,,12:12:00,13:58:00,175
1172,Joni,Female,26,1,"Arms, Leg",8:15:00,9:27:00,130
