id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,Tue
266,Prudence,Female,45,1,"Core, back, chest",18:07:00,19:57:00,34,True
267,Bertie,Female,17,2,,11:33:00,12:31:00,66,True
268,Chadwick,Male,28,1,,18:08:00,20:23:00,127,True
272,Arley,Male,44,5,back,13:20:00,14:14:00,95,True
276,Horatio,Male,45,1,Cardio,11:21:00,12:22:00,128,True
278,Leon,Male,30,2,"back, back, Cardio",13:19:00,16:17:00,31,True
284,Marnie,Female,31,5,,12:52:00,14:48:00,162,True
285,Earl,Male,17,3,,13:33:00,14:55:00,142,True
286,Dimitry,Male,42,5,,20:16:00,22:00:00,169,True
288,Piggy,Male,43,4,,17:30:00,18:03:00,139,True
297,Georas,Male,34,5,,17:29:00,18:11:00,63,True
299,Avis,Female,47,1,,12:31:00,13:28:00,119,True
300,Ives,Male,29,5,leg,14:53:00,16:22:00,165,True
301,Amalea,Female,47,2,"back, Running, chest",13:06:00,13:43:00,124,True
302,Sigismondo,Male,16,3,"chest, back, back",12:48:00,15:45:00,88,True
303,Therese,Female,14,1,,13:32:00,16:17:00,172,True
308,Jodee,Female,31,1,,11:54:00,13:31:00,135,True
312,Taite,Male,20,5,"Cardio, leg",17:41:00,19:28:00,141,True
316,Eric,Male,46,5,,20:52:00,23:41:00,64,True
317,Willie,Male,26,5,,11:06:00,12:27:00,94,True
320,Lavinia,Female,43,5,Arm,09:36:00,11:51:00,148,True
321,Ernesto,Male,33,5,,14:11:00,16:31:00,81,True
324,Belicia,Female,47,2,"Cardio, Arm, Running",19:16:00,19:48:00,80,True
326,Corette,Female,43,3,,18:24:00,20:33:00,55,True
328,Lexine,Female,18,3,,13:52:00,16:23:00,175,True
332,Corey,Female,33,4,Core,20:22:00,22:56:00,68,True
339,Brenda,Female,23,1,"Core, chest, Cardio",15:40:00,17:39:00,118,True
340,Sanderson,Male,45,4,"Arm, Cardio, Core",18:51:00,21:27:00,108,True
342,Orren,Male,26,3,"Arm, Core, leg",17:57:00,19:48:00,136,True
343,Andreana,Female,13,4,Running,09:53:00,11:35:00,98,True
344,Janela,Female,45,2,"Arm, Cardio",12:50:00,13:59:00,140,True
350,Joelie,Female,49,4,"Cardio, Core, Arm",16:20:00,18:55:00,151,True
351,Jerri,Male,16,5,"chest, back, chest",19:27:00,21:05:00,99,True
354,Shoshanna,Female,37,1,chest,17:13:00,18:29:00,84,True
359,Alikee,Female,18,1,,15:21:00,18:12:00,46,True
360,Wini,Female,27,1,"Cardio, chest",17:04:00,20:00:00,146,True
361,Leilah,Female,26,4,"Running, back",20:04:00,22:37:00,42,True
364,Thea,Female,48,4,"leg, back, Core",10:47:00,11:41:00,145,True
374,Portia,Female,15,5,Arm,17:43:00,19:19:00,166,True
377,Parke,Male,37,4,,14:36:00,16:16:00,72,True
379,Alexina,Female,16,3,,08:29:00,11:00:00,136,True
381,Ronald,Male,42,4,,18:01:00,20:07:00,158,True
382,Hagen,Male,12,2,Arm,14:20:00,16:59:00,160,True
384,Priscilla,Female,45,2,"chest, Arm",17:35:00,19:12:00,166,True
390,Devi,Female,39,5,,08:59:00,09:42:00,135,True
391,Cordelie,Female,22,4,,13:34:00,15:09:00,71,True
393,Lenna,Female,32,2,"Core, back, chest",10:09:00,11:45:00,56,True
397,Hetti,Female,44,2,,08:47:00,11:05:00,88,True
398,Edna,Female,26,5,"Cardio, Cardio, back",10:37:00,12:47:00,73,True
403,Nelie,Female,23,5,,15:15:00,18:09:00,92,True
404,Ronna,Female,29,5,"back, Running, leg",11:02:00,13:55:00,138,True
406,Leela,Female,40,3,"Cardio, back",13:03:00,15:14:00,148,True
409,Cthrine,Female,17,5,,18:07:00,19:54:00,37,True
420,Durward,Male,22,2,,11:27:00,13:26:00,89,True
422,Jessalin,Female,31,2,,12:46:00,14:42:00,145,True
423,Koren,Female,43,5,"Core, Cardio, Running",18:48:00,20:55:00,120,True
425,Rockwell,Male,16,2,,16:21:00,17:41:00,121,True
428,Ainslie,Female,16,3,"Cardio, Core",14:06:00,14:52:00,99,True
432,Reed,Male,20,3,"back, Running, Cardio",10:56:00,11:54:00,48,True
433,Becca,Female,44,1,,14:51:00,15:34:00,179,True
435,Maisie,Female,48,4,back,14:44:00,17:31:00,49,True
440,Griffin,Male,35,5,"Running, Core, Core",13:10:00,15:21:00,127,True
441,Risa,Female,49,3,"leg, chest",16:41:00,19:14:00,137,True
443,Merrie,Female,40,5,"Running, Arm, Core",13:59:00,14:33:00,133,True
449,Catriona,Female,40,1,"chest, Cardio, back",18:43:00,19:47:00,63,True
450,Hunter,Male,43,3,"Running, chest, Core",19:08:00,21:45:00,92,True
453,Malynda,Female,37,5,"back, Core, Running",18:36:00,21:04:00,142,True
456,Preston,Male,18,2,back,14:55:00,17:48:00,140,True
460,Blithe,Female,21,4,,09:22:00,11:52:00,88,True
464,Arda,Female,32,1,"chest, Core",20:54:00,23:53:00,90,True
467,Gregorio,Male,32,4,chest,08:25:00,11:08:00,67,True
476,Mendy,Male,15,5,"Core, Cardio",17:37:00,18:15:00,147,True
479,Ingamar,Male,18,3,,12:23:00,13:22:00,142,True
481,Felicdad,Female,12,2,,20:40:00,22:28:00,87,True
482,Edmund,Male,43,4,Cardio,12:50:00,14:27:00,142,True
486,Bret,Male,15,4,Cardio,17:10:00,19:02:00,168,True
488,Hodge,Male,43,3,,17:52:00,18:45:00,124,True
492,Angel,Male,37,1,,11:43:00,14:36:00,132,True
493,Elka,Female,24,1,"back, Arm",15:14:00,17:55:00,80,True
495,Efren,Male,14,1,,08:41:00,09:25:00,168,True
498,Dall,Male,13,1,"chest, Running, back",10:38:00,12:41:00,140,True
499,Cecilia,Female,24,1,Core,20:43:00,22:57:00,47,True
502,Nolly,Male,15,4,,16:10:00,17:18:00,114,True
504,Filia,Female,49,4,"Arm, Running, Cardio",12:33:00,13:14:00,66,True
505,Remus,Male,25,5,,16:19:00,17:06:00,43,True
512,Jarred,Male,18,4,"Core, Cardio",19:02:00,21:52:00,121,True
513,Kermy,Male,44,1,"back, back",14:30:00,16:52:00,65,True
517,Alec,Male,32,1,,08:44:00,09:25:00,155,True
520,Jo-anne,Female,16,4,,19:30:00,20:44:00,175,True
521,Mikaela,Female,32,3,,20:33:00,23:06:00,55,True
523,Klarika,Female,13,5,,17:59:00,19:36:00,179,True
525,Charisse,Female,21,1,,18:22:00,19:32:00,62,True
526,Tailor,Male,28,4,Core,13:43:00,14:38:00,120,True
529,Errol,Male,41,1,,08:50:00,10:45:00,118,True
533,Cyndie,Female,17,5,,18:58:00,21:06:00,155,True
534,Rabbi,Male,25,5,,14:53:00,17:50:00,139,True
535,Enos,Male,30,4,chest,17:46:00,18:42:00,47,True
540,Ermanno,Male,36,3,"back, chest, back",08:58:00,10:44:00,179,True
543,Perle,Female,31,2,,14:45:00,16:48:00,117,True
549,Sebastiano,Male,22,2,"chest, back",16:27:00,18:46:00,72,True
550,Charyl,Female,27,4,,18:01:00,20:11:00,171,True
561,Monique,Female,37,4,chest,13:20:00,14:11:00,129,True
563,Filippa,Female,28,3,,18:39:00,20:06:00,98,True
565,Thorsten,Male,28,5,back,12:52:00,14:13:00,52,True
568,Amye,Female,46,2,,10:41:00,11:48:00,156,True
571,Emmalynne,Female,49,5,,10:11:00,12:32:00,39,True
572,Sheila,Female,12,1,"leg, Cardio",17:04:00,18:45:00,173,True
574,Stafani,Female,14,3,,19:30:00,21:50:00,54,True
576,Brade,Male,17,4,Running,12:40:00,14:21:00,160,True
578,Lester,Male,13,4,,20:35:00,21:30:00,164,True
579,Nickey,Male,28,3,,19:50:00,22:25:00,41,True
580,Freedman,Male,48,3,"Running, back, chest",16:10:00,17:29:00,126,True
581,Albert,Male,13,2,,15:25:00,18:06:00,81,True
588,Rochester,Male,35,2,"chest, Core",08:22:00,09:58:00,50,True
591,Waylen,Male,17,5,"Arm, Cardio, back",12:50:00,13:26:00,82,True
592,Aurie,Female,27,4,"chest, Core, leg",10:17:00,12:47:00,44,True
593,Honor,Female,19,5,,19:51:00,20:25:00,154,True
595,Orazio,Male,36,4,"chest, back, Core",17:06:00,18:28:00,161,True
596,Darius,Male,42,3,,20:46:00,23:33:00,56,True
599,Weber,Male,34,2,,08:35:00,10:58:00,154,True
603,Ingamar,Male,39,4,,15:24:00,17:57:00,167,True
605,Joey,Male,27,4,"Arm, Running",17:42:00,18:39:00,121,True
612,Alameda,Female,15,1,,13:42:00,14:20:00,134,True
613,Emlen,Male,25,1,"Core, Core, back",17:32:00,19:31:00,157,True
614,Phineas,Male,41,1,,09:37:00,11:16:00,139,True
615,Norbie,Male,43,4,,18:07:00,19:13:00,116,True
616,Dennis,Male,49,2,,11:30:00,12:56:00,43,True
617,Duffie,Male,49,3,,15:28:00,16:07:00,143,True
618,Earlie,Male,35,4,,20:35:00,21:51:00,156,True
619,Phillip,Male,35,2,,14:29:00,15:58:00,88,True
622,Glory,Female,42,3,"back, Arm",15:30:00,16:19:00,52,True
623,Merralee,Female,38,3,back,08:25:00,09:12:00,170,True
625,Olympie,Female,27,5,,19:28:00,20:35:00,94,True
626,Warren,Male,13,3,"Cardio, Arm",16:57:00,18:59:00,58,True
639,Shea,Female,15,2,back,09:25:00,10:32:00,150,True
640,Romola,Female,45,1,"chest, Cardio",10:00:00,11:01:00,54,True
644,Catlee,Female,33,4,"Running, chest, chest",12:54:00,13:26:00,97,True
645,Padget,Male,49,2,"chest, back, back",17:23:00,18:17:00,110,True
646,Toiboid,Male,42,4,,17:16:00,19:12:00,125,True
650,Holly,Male,25,5,"back, chest, leg",14:54:00,17:17:00,47,True
656,Barbabas,Male,33,3,"back, Cardio, chest",17:13:00,19:26:00,144,True
659,Ailina,Female,25,2,,18:02:00,19:23:00,163,True
661,Aaron,Male,40,4,"Core, Cardio",17:02:00,19:49:00,106,True
662,Giffer,Male,33,4,"back, Arm, Cardio",11:41:00,14:07:00,120,True
666,Hesther,Female,48,2,Cardio,10:42:00,12:53:00,169,True
669,Ashia,Female,14,1,"Arm, Running",19:04:00,20:13:00,147,True
670,Carmencita,Female,35,2,"leg, Cardio",09:17:00,10:59:00,49,True
673,Tomi,Female,40,4,back,10:49:00,11:21:00,149,True
674,Yehudit,Male,15,3,"Arm, back, Cardio",20:16:00,21:57:00,125,True
680,Farlee,Male,43,4,"Cardio, back",16:33:00,19:17:00,154,True
685,Norbie,Male,46,3,,18:35:00,19:07:00,115,True
686,Nessa,Female,44,1,,10:16:00,13:15:00,79,True
689,Elke,Female,41,4,,09:47:00,12:08:00,174,True
691,Guss,Male,41,5,,10:17:00,12:44:00,83,True
692,Matelda,Female,29,5,"chest, Cardio, Arm",16:21:00,17:05:00,127,True
696,Janean,Female,42,4,chest,11:43:00,12:51:00,60,True
697,Alejandro,Male,15,1,"chest, Arm, leg",10:31:00,12:14:00,100,True
699,Peadar,Male,28,5,"back, chest",18:06:00,20:05:00,110,True
700,Alana,Female,34,2,,16:35:00,17:44:00,99,True
701,Julia,Female,42,1,"back, chest, leg",11:19:00,13:31:00,174,True
702,Rudiger,Male,30,5,,10:22:00,12:17:00,135,True
707,Grove,Male,39,3,Core,13:31:00,14:16:00,106,True
709,Rudolfo,Male,16,4,"Arm, leg, chest",17:58:00,20:00:00,116,True
710,Kayley,Female,29,4,"chest, Core, Cardio",10:54:00,12:00:00,120,True
717,Ive,Male,12,2,,11:10:00,12:53:00,105,True
719,Pren,Male,46,3,,08:33:00,10:02:00,109,True
720,Lloyd,Male,31,3,"back, Running, back",19:42:00,21:46:00,102,True
724,Riccardo,Male,16,5,"Arm, Cardio",19:06:00,21:10:00,35,True
725,Querida,Female,28,2,,19:18:00,21:30:00,50,True
728,Raina,Female,40,4,"Core, leg, Cardio",20:57:00,22:46:00,162,True
729,Sasha,Male,47,5,,19:38:00,20:20:00,61,True
731,Caitrin,Female,38,1,Core,09:10:00,09:44:00,76,True
732,Melva,Female,20,3,,13:30:00,15:53:00,76,True
738,Dorian,Female,33,1,back,11:21:00,13:01:00,73,True
739,Carmelia,Female,18,3,,15:28:00,17:17:00,175,True
745,Lonna,Female,16,5,"chest, Cardio",13:37:00,15:12:00,44,True
746,Dallon,Male,18,5,"Cardio, leg",10:09:00,11:57:00,61,True
750,Agnese,Female,18,5,"chest, back, chest",10:28:00,11:32:00,135,True
752,Daile,Female,35,1,,08:05:00,10:17:00,56,True
755,Mommy,Female,12,3,,18:39:00,19:37:00,30,True
758,Gabbi,Female,46,4,,15:16:00,16:04:00,105,True
761,Leonerd,Male,30,3,"back, Running",13:41:00,16:19:00,93,True
762,Ardis,Female,16,1,"Cardio, Running",12:13:00,12:54:00,37,True
763,Gabbie,Female,39,4,Cardio,15:39:00,18:01:00,83,True
764,Lars,Male,30,4,"Core, back",08:10:00,11:10:00,103,True
769,Glynda,Female,30,3,"Arm, Core",13:25:00,14:52:00,111,True
771,Dominique,Female,44,5,,20:00:00,20:53:00,79,True
773,Willis,Male,36,4,"leg, Cardio, Cardio",18:25:00,21:08:00,30,True
774,Dario,Male,45,4,,12:32:00,13:09:00,150,True
775,Odella,Female,22,3,Cardio,09:35:00,11:04:00,31,True
777,Harriette,Female,24,3,,14:58:00,17:40:00,171,True
778,Zacharias,Male,41,1,Cardio,20:17:00,22:50:00,166,True
779,Lorenza,Female,22,2,"Arm, chest",08:37:00,11:17:00,154,True
780,Dulsea,Female,49,4,,13:20:00,15:17:00,173,True
781,Martyn,Male,12,1,"Cardio, chest, back",16:32:00,17:50:00,78,True
782,Elvera,Female,40,2,,14:03:00,15:48:00,90,True
784,Anallise,Female,30,1,,09:38:00,12:16:00,125,True
786,Margareta,Female,21,3,,19:32:00,22:10:00,176,True
788,Kane,Male,36,2,,19:44:00,21:05:00,122,True
789,Starlin,Female,44,3,,17:08:00,17:44:00,127,True
791,Fred,Female,30,4,,16:49:00,19:34:00,109,True
792,Celestina,Female,45,2,Arm,11:44:00,12:54:00,125,True
793,Berk,Male,25,3,"Running, leg",16:06:00,17:52:00,40,True
794,Vallie,Female,47,4,,17:17:00,18:20:00,149,True
796,Marylinda,Female,36,3,"Arm, Cardio",09:21:00,11:58:00,59,True
797,Alley,Male,46,4,leg,09:41:00,10:37:00,140,True
802,Kristan,Female,44,5,leg,08:00:00,09:26:00,55,True
803,Cecily,Female,32,4,,09:26:00,10:07:00,56,True
804,Ben,Male,21,4,,08:59:00,11:37:00,153,True
807,Ardelis,Female,37,3,"back, Arm",19:35:00,20:13:00,91,True
813,Johnathan,Male,36,4,,14:07:00,14:43:00,38,True
818,Gavin,Male,30,5,Cardio,11:51:00,13:03:00,172,True
819,Vi,Female,35,5,,08:23:00,11:19:00,167,True
825,Baily,Male,47,3,Core,10:53:00,11:53:00,160,True
827,WArm,Male,27,2,"Running, Cardio, back",14:33:00,17:08:00,119,True
831,Wheeler,Male,24,4,,09:35:00,10:15:00,31,True
834,Avram,Male,40,5,,19:16:00,21:43:00,142,True
838,Montague,Male,22,2,"Core, Arm, chest",20:40:00,21:39:00,63,True
840,Darell,Female,38,2,,20:26:00,21:46:00,82,True
841,Marthena,Female,36,4,,11:00:00,12:53:00,103,True
842,Gale,Female,24,5,Cardio,09:47:00,11:34:00,45,True
844,Ogdan,Male,37,2,"back, Cardio, leg",13:40:00,14:30:00,71,True
845,Curran,Male,31,5,,17:09:00,19:19:00,47,True
846,Colby,Male,31,1,"Arm, leg, back",15:59:00,18:56:00,53,True
847,Carolus,Male,27,3,,20:43:00,22:03:00,95,True
849,Carol,Female,48,3,"Cardio, Core",16:37:00,17:58:00,123,True
851,Serene,Female,36,3,,08:06:00,09:17:00,180,True
852,Laraine,Female,49,3,,15:43:00,17:40:00,138,True
854,Odelia,Female,45,4,,20:20:00,22:54:00,127,True
856,Ester,Female,42,5,"Arm, back, back",17:05:00,18:41:00,144,True
858,Florinda,Female,15,3,"Arm, Cardio, chest",10:20:00,10:53:00,93,True
860,Marcelle,Female,38,3,"Arm, Cardio",18:33:00,19:20:00,141,True
861,Tasia,Female,16,1,"chest, Running",14:22:00,17:22:00,65,True
863,Wash,Male,18,2,,11:08:00,11:42:00,178,True
864,Malchy,Male,18,4,"chest, chest, Core",16:01:00,17:34:00,156,True
865,Erhard,Male,19,2,,11:19:00,12:13:00,159,True
867,Anderea,Female,38,1,Cardio,16:05:00,17:13:00,173,True
869,Saba,Female,25,4,"Cardio, back",12:09:00,14:40:00,43,True
870,Chic,Male,17,3,"Arm, Running",12:59:00,15:22:00,178,True
871,Annora,Female,43,1,"Core, Core, Cardio",12:21:00,14:19:00,91,True
879,Lil,Female,30,4,,10:39:00,13:26:00,45,True
883,Fan,Female,46,2,"leg, Cardio, back",15:31:00,16:43:00,111,True
885,Biddy,Female,48,4,,14:33:00,16:21:00,141,True
886,Cathryn,Female,17,1,"Arm, chest",15:47:00,16:56:00,131,True
887,Cord,Male,45,3,,19:04:00,19:49:00,85,True
890,Gonzales,Male,48,3,,20:18:00,21:16:00,50,True
893,Borden,Male,49,2,"Cardio, chest, leg",20:33:00,21:10:00,93,True
895,Robinet,Male,17,2,,16:53:00,17:28:00,145,True
897,Andra,Female,34,5,Cardio,09:39:00,12:29:00,33,True
902,Nadia,Female,17,4,"chest, leg",16:03:00,18:06:00,173,True
908,Grazia,Female,33,3,,10:25:00,12:51:00,175,True
916,Zeke,Male,29,4,back,15:05:00,17:34:00,165,True
918,Fayth,Female,12,4,,11:23:00,14:09:00,121,True
919,Devlin,Male,12,2,,19:43:00,20:53:00,43,True
924,Carling,Male,36,1,,17:57:00,19:46:00,121,True
925,Perle,Female,35,2,"chest, chest",13:47:00,14:28:00,33,True
926,Gerick,Male,25,3,,09:16:00,11:09:00,108,True
927,Tye,Male,30,2,leg,10:03:00,10:53:00,165,True
929,Aldous,Male,43,3,"Cardio, chest",09:38:00,11:38:00,163,True
930,Vita,Female,16,2,,13:57:00,14:41:00,148,True
931,Dori,Female,37,5,,16:33:00,18:18:00,39,True
933,Tiertza,Female,13,2,"chest, leg, Core",19:06:00,21:13:00,111,True
934,Dionis,Female,19,3,,13:53:00,15:44:00,55,True
935,Mariam,Female,18,2,,12:35:00,15:30:00,98,True
936,Briano,Male,17,2,"chest, Core, back",15:31:00,16:33:00,180,True
937,Parsifal,Male,37,1,"Core, chest, Running",10:55:00,11:28:00,121,True
941,Matias,Male,49,2,,10:21:00,13:17:00,52,True
943,Ransell,Male,28,5,,11:58:00,13:01:00,112,True
944,Marty,Female,22,1,,09:41:00,12:34:00,76,True
945,Doris,Female,24,5,,17:14:00,19:45:00,66,True
946,Fidelio,Male,48,1,,13:49:00,14:33:00,164,True
948,Hanna,Female,34,1,"leg, chest, back",11:39:00,13:59:00,151,True
950,Karyn,Female,43,3,"Running, leg",15:44:00,18:43:00,107,True
951,Grayce,Female,27,5,"Arm, Core",11:36:00,12:31:00,179,True
956,Lucia,Female,43,5,"back, Cardio, back",14:18:00,16:38:00,149,True
961,Kellen,Female,24,4,,10:24:00,11:28:00,167,True
962,Wenona,Female,35,1,,13:28:00,15:55:00,159,True
964,Domenico,Male,31,5,,18:37:00,21:33:00,150,True
965,Francesco,Male,18,1,back,11:56:00,13:12:00,70,True
968,Emalee,Female,25,2,,13:36:00,14:50:00,39,True
970,Beale,Male,20,4,,08:22:00,08:54:00,42,True
972,Kit,Male,29,3,"back, Cardio, Core",14:44:00,16:18:00,120,True
975,Clemmy,Male,14,1,,11:07:00,13:34:00,51,True
976,Veda,Female,40,1,,16:39:00,19:26:00,168,True
980,Quillan,Male,40,3,"back, Running",17:47:00,19:20:00,122,True
981,Georgie,Female,17,5,Core,14:52:00,16:57:00,102,True
982,Agna,Female,48,3,"leg, Core, Core",19:59:00,22:01:00,92,True
983,Benyamin,Male,34,3,"Cardio, Arm, leg",19:22:00,22:15:00,86,True
987,Hadria,Female,20,3,,19:04:00,20:26:00,33,True
989,Magdalen,Female,21,1,Cardio,09:14:00,10:32:00,71,True
990,Clywd,Male,21,3,,11:50:00,13:07:00,177,True
991,Oliy,Female,34,2,,08:22:00,11:11:00,145,True
993,Melantha,Female,20,3,"Running, Cardio, leg",09:42:00,10:49:00,73,True
994,Averill,Male,27,3,"Cardio, Arm",19:50:00,20:24:00,116,True
999,Brigg,Male,32,2,"Arm, leg, Core",10:23:00,11:45:00,39,True
1002,Doralin,Female,48,3,,19:31:00,21:55:00,156,True
1004,Darren,Male,45,2,,09:54:00,12:00:00,103,True
1005,Petr,Male,26,5,Running,08:29:00,09:48:00,138,True
1007,Anson,Male,19,3,Cardio,19:46:00,20:59:00,67,True
1016,Katya,Female,46,5,"leg, Core",17:28:00,19:02:00,111,True
1017,Chaddie,Male,48,5,,09:25:00,10:59:00,127,True
1018,Trixy,Female,41,2,,16:54:00,19:39:00,70,True
1020,Abe,Male,35,2,"chest, back, Core",13:55:00,16:26:00,86,True
1025,Bernardina,Female,43,2,,08:42:00,10:58:00,160,True
1031,Keith,Male,27,3,,10:01:00,12:13:00,130,True
1032,Nataniel,Male,41,1,,20:53:00,21:34:00,125,True
1037,Shelby,Female,41,4,,09:02:00,11:39:00,135,True
1040,Kara,Female,46,2,"Cardio, back",10:26:00,12:49:00,93,True
1045,Sigismond,Male,38,1,,09:57:00,10:49:00,90,True
