id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,Mon
314,Worden,Male,21,5,,19:20:00,20:48:00,139,True
317,Willie,Male,26,5,,11:06:00,12:27:00,94,True
320,Lavinia,Female,43,5,Arm,9:36:00,11:51:00,148,True
323,Benjamin,Male,39,4,Leg,17:11:00,18:30:00,100,True
324,Belicia,Female,47,2,"Cardio, Arm, Leg",19:16:00,19:48:00,80,True
328,Lexine,Female,18,3,,13:52:00,16:23:00,175,True
334,Keelby,Male,17,5,,17:29:00,18:04:00,101,True
338,Jarib,Male,30,5,Core,10:06:00,13:03:00,45,True
341,Rita,Female,31,1,,14:02:00,14:37:00,88,True
342,Orren,Male,26,3,"Arm, Core, Leg",17:57:00,19:48:00,136,True
346,Domeniga,Female,14,5,back,12:17:00,12:55:00,167,True
347,Valentine,Female,32,1,,16:51:00,17:42:00,178,True
350,Joelie,Female,49,4,"Cardio, Core, Arm",16:20:00,18:55:00,151,True
358,Carla,Female,23,5,Core,18:06:00,18:36:00,155,True
361,Leilah,Female,26,4,"Leg, back",20:04:00,22:37:00,42,True
362,Melli,Female,15,1,Cardio,11:51:00,12:21:00,53,True
366,Nicolais,Male,37,1,,10:31:00,13:18:00,137,True
372,Ilyse,Female,38,4,"Leg, back, Leg",11:18:00,12:58:00,130,True
374,Portia,Female,15,5,Arm,17:43:00,19:19:00,166,True
375,Kelley,Male,45,5,,16:54:00,19:18:00,141,True
377,Parke,Male,37,4,,14:36:00,16:16:00,72,True
381,Ronald,Male,42,4,,18:01:00,20:07:00,158,True
387,Woody,Male,35,4,"Core, chest",19:08:00,20:29:00,159,True
391,Cordelie,Female,22,4,,13:34:00,15:09:00,71,True
392,Dreddy,Female,35,3,"Leg, Arm",8:25:00,9:19:00,70,True
393,Lenna,Female,32,2,"Core, back, chest",10:09:00,11:45:00,56,True
400,Logan,Male,26,2,"back, chest",13:02:00,13:54:00,85,True
404,Ronna,Female,29,5,"back, Leg, Leg",11:02:00,13:55:00,138,True
406,Leela,Female,40,3,"Cardio, back",13:03:00,15:14:00,148,True
411,Aeriell,Female,49,1,,11:53:00,14:08:00,165,True
414,Truda,Female,27,1,"chest, back, Cardio",12:26:00,13:36:00,165,True
416,Olag,Male,35,5,Cardio,19:37:00,20:28:00,132,True
418,Stafani,Female,13,3,,19:37:00,22:32:00,142,True
423,Koren,Female,43,5,"Core, Cardio, Leg",18:48:00,20:55:00,120,True
428,Ainslie,Female,16,3,"Cardio, Core",14:06:00,14:52:00,99,True
429,Basil,Male,35,2,"back, Arm",17:57:00,18:55:00,126,True
431,Willard,Male,39,5,Core,16:01:00,17:47:00,61,True
432,Reed,Male,20,3,"back, Leg, Cardio",10:56:00,11:54:00,48,True
434,Sabra,Female,36,5,,18:14:00,20:34:00,144,True
438,Averil,Male,42,2,,17:18:00,18:55:00,170,True
441,Risa,Female,49,3,"Leg, chest",16:41:00,19:14:00,137,True
444,Orville,Male,31,3,,18:40:00,20:17:00,152,True
447,Wittie,Male,19,1,,9:14:00,10:45:00,78,True
448,Jean,Female,23,3,,17:22:00,19:06:00,131,True
450,Hunter,Male,43,3,"Leg, chest, Core",19:08:00,21:45:00,92,True
451,Cherish,Female,23,1,chest,14:27:00,15:02:00,70,True
452,Augusta,Female,49,2,Leg,16:21:00,19:15:00,142,True
454,Philippine,Female,13,1,Leg,18:14:00,18:57:00,42,True
456,Preston,Male,18,2,back,14:55:00,17:48:00,140,True
458,Edi,Female,45,4,Cardio,11:37:00,14:27:00,106,True
459,Ancell,Male,14,2,,18:28:00,20:43:00,126,True
461,Gianni,Male,18,2,"Core, Leg",19:07:00,21:51:00,162,True
463,Sidoney,Female,13,4,,18:15:00,19:15:00,74,True
466,Krystle,Female,37,1,,17:47:00,19:00:00,109,True
467,Gregorio,Male,32,4,chest,8:25:00,11:08:00,67,True
468,Nananne,Female,37,4,,9:56:00,11:16:00,133,True
469,Decca,Male,24,1,Cardio,13:39:00,15:34:00,127,True
474,Walker,Male,32,3,"chest, Leg",16:59:00,18:50:00,59,True
477,Melisa,Female,31,5,,9:43:00,12:22:00,160,True
479,Ingamar,Male,18,3,,12:23:00,13:22:00,142,True
480,Ikey,Male,42,3,"Core, back",11:46:00,14:15:00,44,True
487,Mariam,Female,31,1,"chest, Leg",15:44:00,16:57:00,144,True
488,Hodge,Male,43,3,,17:52:00,18:45:00,124,True
489,Huntley,Male,48,1,,12:42:00,14:00:00,134,True
493,Elka,Female,24,1,"back, Arm",15:14:00,17:55:00,80,True
498,Dall,Male,13,1,"chest, Leg, back",10:38:00,12:41:00,140,True
500,Esdras,Male,29,2,,14:34:00,15:55:00,75,True
501,Gib,Male,47,1,"Cardio, chest",19:22:00,21:24:00,89,True
503,Sib,Female,48,5,,15:10:00,16:35:00,70,True
510,Minor,Male,14,5,"Cardio, back, Cardio",12:56:00,14:40:00,65,True
512,Jarred,Male,18,4,"Core, Cardio",19:02:00,21:52:00,121,True
514,Darcee,Female,12,2,"Core, back, Arm",12:43:00,15:19:00,51,True
517,Alec,Male,32,1,,8:44:00,9:25:00,155,True
522,Calypso,Female,41,2,"Core, chest",20:25:00,22:12:00,68,True
525,Charisse,Female,21,1,,18:22:00,19:32:00,62,True
527,Flora,Female,46,1,,11:15:00,13:25:00,166,True
528,Yetty,Female,27,5,"chest, Arm",8:27:00,9:33:00,53,True
530,Sandy,Female,13,2,"back, chest",19:59:00,20:45:00,114,True
532,Skell,Male,18,2,"chest, back, Core",16:04:00,17:35:00,49,True
534,Rabbi,Male,25,5,,14:53:00,17:50:00,139,True
536,Giselbert,Male,23,2,,16:05:00,17:44:00,170,True
537,Jane,Female,42,2,"chest, chest, Leg",10:22:00,10:58:00,139,True
539,Dru,Male,42,3,Core,17:08:00,17:43:00,158,True
541,Solomon,Male,49,1,,16:59:00,18:44:00,83,True
542,Cicily,Female,12,3,"Core, Arm, back",11:55:00,13:56:00,176,True
544,Bianca,Female,32,1,"chest, back, Core",9:49:00,12:29:00,171,True
547,Papageno,Male,38,3,,16:19:00,18:58:00,141,True
553,Consalve,Male,43,3,"back, Core",18:23:00,19:31:00,33,True
554,Kit,Female,36,2,"chest, Arm",18:15:00,20:02:00,110,True
555,Garner,Male,37,4,"chest, Cardio",19:22:00,21:45:00,125,True
556,Audra,Female,35,5,,10:32:00,11:40:00,41,True
557,Hatti,Female,23,3,"Cardio, chest, back",10:36:00,12:53:00,127,True
562,Gerladina,Female,40,1,"back, Core, chest",12:52:00,15:16:00,161,True
563,Filippa,Female,28,3,,18:39:00,20:06:00,98,True
566,Kathy,Female,12,4,,9:56:00,12:06:00,44,True
567,Verile,Female,16,5,back,19:09:00,21:43:00,60,True
568,Amye,Female,46,2,,10:41:00,11:48:00,156,True
569,Pasquale,Male,28,5,"back, Cardio, Leg",20:28:00,22:32:00,134,True
572,Sheila,Female,12,1,"Leg, Cardio",17:04:00,18:45:00,173,True
577,Yelena,Female,21,1,,10:26:00,12:39:00,78,True
579,Nickey,Male,28,3,,19:50:00,22:25:00,41,True
580,Freedman,Male,48,3,"Leg, back, chest",16:10:00,17:29:00,126,True
581,Albert,Male,13,2,,15:25:00,18:06:00,81,True
584,Dallis,Male,19,4,,10:48:00,11:32:00,146,True
586,Roosevelt,Male,18,5,,8:13:00,9:28:00,172,True
589,Adham,Male,45,1,,14:06:00,15:33:00,172,True
596,Darius,Male,42,3,,20:46:00,23:33:00,56,True
597,Holly,Male,16,4,,18:52:00,21:05:00,169,True
599,Weber,Male,34,2,,8:35:00,10:58:00,154,True
604,Mirella,Female,31,3,,18:42:00,21:12:00,154,True
605,Joey,Male,27,4,"Arm, Leg",17:42:00,18:39:00,121,True
608,Ekaterina,Female,28,2,Arm,8:46:00,9:19:00,114,True
609,Marrissa,Female,14,2,"chest, Leg, Core",17:33:00,20:22:00,53,True
610,Neda,Female,15,5,"back, Arm",14:03:00,16:44:00,99,True
612,Alameda,Female,15,1,,13:42:00,14:20:00,134,True
613,Emlen,Male,25,1,"Core, Core, back",17:32:00,19:31:00,157,True
614,Phineas,Male,41,1,,9:37:00,11:16:00,139,True
618,Earlie,Male,35,4,,20:35:00,21:51:00,156,True
620,Geneva,Female,32,2,"Core, Core",10:26:00,11:50:00,49,True
622,Glory,Female,42,3,"back, Arm",15:30:00,16:19:00,52,True
623,Merralee,Female,38,3,back,8:25:00,9:12:00,170,True
624,Willie,Male,24,4,,8:39:00,9:36:00,123,True
625,Olympie,Female,27,5,,19:28:00,20:35:00,94,True
626,Warren,Male,13,3,"Cardio, Arm",16:57:00,18:59:00,58,True
628,Welbie,Male,27,4,,16:53:00,18:40:00,155,True
630,Pablo,Male,39,1,,14:29:00,16:53:00,113,True
631,Cordy,Female,28,5,,8:50:00,10:06:00,44,True
633,Trula,Female,46,4,Leg,14:42:00,16:22:00,59,True
634,Nina,Female,16,3,,16:51:00,18:00:00,152,True
640,Romola,Female,45,1,"chest, Cardio",10:00:00,11:01:00,54,True
643,Dilan,Male,43,3,"Arm, Core, back",20:31:00,23:05:00,36,True
644,Catlee,Female,33,4,"Leg, chest, chest",12:54:00,13:26:00,97,True
650,Holly,Male,25,5,"back, chest, Leg",14:54:00,17:17:00,47,True
651,Bradley,Male,39,5,,20:36:00,21:48:00,107,True
652,Jermayne,Male,25,3,,11:06:00,13:25:00,89,True
656,Barbabas,Male,33,3,"back, Cardio, chest",17:13:00,19:26:00,144,True
658,Westleigh,Male,39,1,,19:23:00,21:04:00,41,True
659,Ailina,Female,25,2,,18:02:00,19:23:00,163,True
665,Myrah,Female,15,4,chest,11:45:00,12:19:00,136,True
669,Ashia,Female,14,1,"Arm, Leg",19:04:00,20:13:00,147,True
670,Carmencita,Female,35,2,"Leg, Cardio",9:17:00,10:59:00,49,True
671,Gery,Male,14,5,,12:36:00,13:56:00,118,True
673,Tomi,Female,40,4,back,10:49:00,11:21:00,149,True
674,Yehudit,Male,15,3,"Arm, back, Cardio",20:16:00,21:57:00,125,True
677,Tonia,Female,47,3,chest,9:06:00,10:41:00,100,True
680,Farlee,Male,43,4,"Cardio, back",16:33:00,19:17:00,154,True
682,Maximilien,Male,22,1,,10:54:00,13:07:00,104,True
688,Lyn,Male,18,5,,20:25:00,22:44:00,40,True
689,Elke,Female,41,4,,9:47:00,12:08:00,174,True
690,Simmonds,Male,23,2,,13:10:00,14:21:00,89,True
693,Mignonne,Female,48,5,,17:34:00,19:15:00,135,True
697,Alejandro,Male,15,1,"chest, Arm, Leg",10:31:00,12:14:00,100,True
698,Morgan,Male,19,5,,14:52:00,15:55:00,180,True
700,Alana,Female,34,2,,16:35:00,17:44:00,99,True
702,Rudiger,Male,30,5,,10:22:00,12:17:00,135,True
705,Edvard,Male,37,4,"Arm, Core",17:29:00,19:09:00,64,True
707,Grove,Male,39,3,Core,13:31:00,14:16:00,106,True
710,Kayley,Female,29,4,"chest, Core, Cardio",10:54:00,12:00:00,120,True
711,Nelli,Female,24,1,"Core, Leg, Cardio",9:57:00,12:44:00,36,True
712,Paul,Male,16,2,"Core, Leg",13:12:00,14:47:00,118,True
715,Brant,Male,14,3,,12:02:00,14:59:00,104,True
716,Emiline,Female,16,5,Leg,18:15:00,18:56:00,170,True
719,Pren,Male,46,3,,8:33:00,10:02:00,109,True
720,Lloyd,Male,31,3,"back, Leg, back",19:42:00,21:46:00,102,True
726,Sebastien,Male,43,4,,10:54:00,12:03:00,70,True
731,Caitrin,Female,38,1,Core,9:10:00,9:44:00,76,True
733,Cirilo,Male,41,5,chest,18:15:00,18:59:00,157,True
734,Konrad,Male,43,4,,9:13:00,12:11:00,157,True
735,Georgeta,Female,19,3,"Arm, chest",9:24:00,10:07:00,139,True
737,Feodor,Male,31,2,,8:43:00,11:19:00,36,True
738,Dorian,Female,33,1,back,11:21:00,13:01:00,73,True
739,Carmelia,Female,18,3,,15:28:00,17:17:00,175,True
740,Kellsie,Female,49,4,,11:16:00,13:42:00,96,True
743,Bartie,Male,14,1,"Cardio, Core",20:28:00,20:59:00,163,True
745,Lonna,Female,16,5,"chest, Cardio",13:37:00,15:12:00,44,True
750,Agnese,Female,18,5,"chest, back, chest",10:28:00,11:32:00,135,True
752,Daile,Female,35,1,,8:05:00,10:17:00,56,True
754,Vida,Female,19,5,,15:13:00,16:46:00,130,True
756,Orv,Male,34,4,"chest, Cardio, Arm",19:23:00,22:04:00,32,True
758,Gabbi,Female,46,4,,15:16:00,16:04:00,105,True
759,Ricki,Male,32,1,"back, Leg, chest",13:19:00,16:18:00,55,True
760,Simmonds,Male,49,3,"Core, Leg",9:29:00,11:20:00,99,True
763,Gabbie,Female,39,4,Cardio,15:39:00,18:01:00,83,True
767,Lin,Male,34,3,,13:07:00,14:15:00,158,True
769,Glynda,Female,30,3,"Arm, Core",13:25:00,14:52:00,111,True
772,Robbi,Female,45,2,,20:52:00,21:49:00,60,True
773,Willis,Male,36,4,"Leg, Cardio, Cardio",18:25:00,21:08:00,30,True
775,Odella,Female,22,3,Cardio,9:35:00,11:04:00,31,True
776,Shannan,Male,40,1,,18:44:00,20:27:00,49,True
778,Zacharias,Male,41,1,Cardio,20:17:00,22:50:00,166,True
788,Kane,Male,36,2,,19:44:00,21:05:00,122,True
789,Starlin,Female,44,3,,17:08:00,17:44:00,127,True
794,Vallie,Female,47,4,,17:17:00,18:20:00,149,True
795,Jeremie,Male,33,1,"Cardio, chest, Leg",12:59:00,15:02:00,131,True
797,Alley,Male,46,4,Leg,9:41:00,10:37:00,140,True
798,Donall,Male,16,5,chest,20:44:00,22:06:00,41,True
799,Helen-elizabeth,Female,15,1,"Leg, chest",9:11:00,9:43:00,84,True
800,Roxy,Female,30,5,,9:21:00,11:58:00,33,True
802,Kristan,Female,44,5,Leg,8:00:00,9:26:00,55,True
806,Beatriz,Female,21,4,,16:13:00,18:08:00,74,True
807,Ardelis,Female,37,3,"back, Arm",19:35:00,20:13:00,91,True
808,Sosanna,Female,27,4,,16:32:00,18:06:00,91,True
810,Neils,Male,38,4,chest,14:19:00,17:03:00,178,True
813,Johnathan,Male,36,4,,14:07:00,14:43:00,38,True
815,Ranee,Female,13,3,,14:12:00,14:45:00,174,True
816,Benoit,Male,41,3,,12:18:00,13:31:00,43,True
817,Ailee,Female,17,1,,17:06:00,19:24:00,157,True
819,Vi,Female,35,5,,8:23:00,11:19:00,167,True
822,Mischa,Male,35,3,,19:44:00,21:50:00,120,True
823,Viola,Female,47,5,,16:33:00,18:53:00,141,True
824,Junie,Female,13,4,,17:59:00,19:01:00,170,True
827,WArm,Male,27,2,"Leg, Cardio, back",14:33:00,17:08:00,119,True
830,Micky,Male,14,3,"Cardio, back",12:05:00,14:43:00,119,True
837,Gal,Male,45,1,,19:11:00,21:53:00,136,True
839,Ynes,Female,15,1,,8:54:00,9:43:00,56,True
842,Gale,Female,24,5,Cardio,9:47:00,11:34:00,45,True
849,Carol,Female,48,3,"Cardio, Core",16:37:00,17:58:00,123,True
850,Reinhold,Male,46,4,"Cardio, chest, Leg",14:56:00,15:38:00,80,True
852,Laraine,Female,49,3,,15:43:00,17:40:00,138,True
855,Gordie,Male,31,3,,12:10:00,14:06:00,164,True
861,Tasia,Female,16,1,"chest, Leg",14:22:00,17:22:00,65,True
862,Zackariah,Male,44,4,"Cardio, chest",17:19:00,19:17:00,93,True
864,Malchy,Male,18,4,"chest, chest, Core",16:01:00,17:34:00,156,True
867,Anderea,Female,38,1,Cardio,16:05:00,17:13:00,173,True
871,Annora,Female,43,1,"Core, Core, Cardio",12:21:00,14:19:00,91,True
876,Ramona,Female,17,5,Leg,18:32:00,19:44:00,34,True
878,Elisa,Female,38,4,,14:04:00,16:59:00,110,True
881,Alexei,Male,41,3,,10:46:00,11:40:00,138,True
884,Wayland,Male,33,2,Arm,16:18:00,19:07:00,105,True
885,Biddy,Female,48,4,,14:33:00,16:21:00,141,True
886,Cathryn,Female,17,1,"Arm, chest",15:47:00,16:56:00,131,True
889,Wilt,Male,12,4,Leg,11:41:00,13:52:00,164,True
890,Gonzales,Male,48,3,,20:18:00,21:16:00,50,True
896,Franni,Female,44,2,,10:05:00,11:47:00,81,True
899,Jeremie,Male,35,1,"Core, Leg",12:59:00,14:03:00,154,True
900,Gretel,Female,15,3,,19:13:00,21:37:00,35,True
904,Freddi,Female,13,3,,10:09:00,13:01:00,71,True
907,Stanislaus,Male,40,5,"Core, Cardio",15:12:00,16:15:00,33,True
908,Grazia,Female,33,3,,10:25:00,12:51:00,175,True
910,Urban,Male,46,3,Cardio,11:09:00,12:15:00,73,True
912,Avivah,Female,48,2,,19:32:00,22:02:00,108,True
918,Fayth,Female,12,4,,11:23:00,14:09:00,121,True
925,Perle,Female,35,2,"chest, chest",13:47:00,14:28:00,33,True
926,Gerick,Male,25,3,,9:16:00,11:09:00,108,True
928,Pamela,Female,46,1,,17:33:00,18:42:00,67,True
929,Aldous,Male,43,3,"Cardio, chest",9:38:00,11:38:00,163,True
930,Vita,Female,16,2,,13:57:00,14:41:00,148,True
934,Dionis,Female,19,3,,13:53:00,15:44:00,55,True
946,Fidelio,Male,48,1,,13:49:00,14:33:00,164,True
947,Elladine,Female,38,5,,9:42:00,11:23:00,99,True
950,Karyn,Female,43,3,"Leg, Leg",15:44:00,18:43:00,107,True
951,Grayce,Female,27,5,"Arm, Core",11:36:00,12:31:00,179,True
952,Ricky,Male,49,5,"Core, back, Cardio",19:21:00,20:04:00,33,True
954,Ivor,Male,16,4,"Arm, back, back",15:27:00,18:03:00,131,True
955,Menard,Male,12,1,chest,12:46:00,14:20:00,56,True
960,Brenn,Female,24,5,,10:14:00,10:55:00,124,True
961,Kellen,Female,24,4,,10:24:00,11:28:00,167,True
964,Domenico,Male,31,5,,18:37:00,21:33:00,150,True
968,Emalee,Female,25,2,,13:36:00,14:50:00,39,True
971,Emma,Female,19,3,"Arm, back",16:37:00,18:37:00,106,True
973,Nikos,Male,39,4,"chest, Cardio, back",16:41:00,18:40:00,78,True
977,Zacherie,Male,18,4,chest,10:36:00,13:26:00,173,True
978,Tremaine,Male,20,2,,19:00:00,19:33:00,104,True
980,Quillan,Male,40,3,"back, Leg",17:47:00,19:20:00,122,True
981,Georgie,Female,17,5,Core,14:52:00,16:57:00,102,True
983,Benyamin,Male,34,3,"Cardio, Arm, Leg",19:22:00,22:15:00,86,True
987,Hadria,Female,20,3,,19:04:00,20:26:00,33,True
994,Averill,Male,27,3,"Cardio, Arm",19:50:00,20:24:00,116,True
